Datetime,Open,High,Low,Close,intvwap,Volume,v
02-05-2023 12:00,1693.5,1695.6,1690.8,1695.35,1693.15,333615,5830118
02-05-2023 12:15,1695.3,1696.9,1694.5,1696.2,1695.62,477547,6307665
02-05-2023 12:30,1696.15,1696.85,1692.4,1694.2,1693.76,530541,6838206
02-05-2023 12:45,1693.75,1696.7,1691.55,1695.5,1694.45,753690,7591896
02-05-2023 13:00,1695.45,1696.1,1691.7,1691.85,1693.62,429988,8021884
02-05-2023 13:15,1691.8,1693,1690.95,1691.35,1691.99,285161,8307045
02-05-2023 13:30,1691.3,1694.4,1689.6,1692.25,1691.37,829332,9136377
02-05-2023 13:45,1692.05,1695.9,1690.65,1693.4,1692.85,1180026,10316403
02-05-2023 14:00,1693.65,1694.05,1690.25,1691.7,1691.78,1042863,11359266
02-05-2023 14:15,1691.65,1693.6,1689.3,1693.5,1691.52,499350,11858616
02-05-2023 14:30,1693.55,1694.25,1690.65,1691.75,1692.56,1158619,13017235
02-05-2023 14:45,1691.8,1692.5,1687,1692.15,1690.72,694269,13711504
02-05-2023 15:00,1692.05,1692.8,1685.75,1685.75,1689.65,1303004,15014508
02-05-2023 15:15,1686.05,1687.5,1682.05,1682.9,1684.49,1095096,16109604
03-05-2023 09:15,1684.8,1686.8,1679.65,1681.5,1683.54,771595,771595
03-05-2023 09:30,1681.7,1685.45,1679.8,1685.4,1682.33,379192,1150787
03-05-2023 09:45,1685.45,1687.8,1683.5,1686.15,1686.4,350503,1501290
03-05-2023 10:00,1686.25,1686.8,1683.8,1684.3,1684.64,235090,1736380
03-05-2023 10:15,1684.25,1689,1684.25,1687.6,1687.92,384348,2120728
03-05-2023 10:30,1687.7,1692.2,1687.1,1690.55,1690.08,222641,2343369
03-05-2023 10:45,1690.25,1692.2,1689.5,1691.3,1690.94,731713,3075082
03-05-2023 11:00,1691.25,1691.45,1685.2,1686,1687.52,727419,3802501
03-05-2023 11:15,1685.9,1688.4,1683.5,1688.4,1685.93,1295294,5097795
03-05-2023 11:30,1688.45,1688.95,1682.75,1683.85,1685.88,789984,5887779
03-05-2023 11:45,1684,1686.7,1682.7,1686.6,1684.33,478257,6366036
03-05-2023 12:00,1686.55,1686.8,1681.75,1681.85,1684.66,592246,6958282
03-05-2023 12:15,1682,1683.8,1681.05,1683.3,1682.2,653436,7611718
03-05-2023 12:30,1683.25,1685.05,1682.25,1684.05,1684.21,783440,8395158
03-05-2023 12:45,1684.1,1686,1683.55,1683.55,1684.78,292463,8687621
03-05-2023 13:00,1683.75,1686.1,1683.45,1684.35,1685.06,310259,8997880
